idx,im_std,clicks,spent,success
527,0.2118506346802047,49,76.83999932,-1.0
528,-0.4171448467493557,9,15.53999972,-1.0
529,-0.35109466194728656,11,17.67000008,1.0
530,0.07225895018637482,30,49.60000014,1.0
531,0.08748457609534245,31,53.26999903,-1.0
532,1.0854153259016073,85,126.9299996,1.0
533,1.7726275642716303,120,179.620001,1.0
534,-0.044459124951563754,25,38.42000043,-1.0
535,0.00684503156571778,38,58.5999999,1.0
536,-0.20336900174736391,25,39.72999978,1.0
537,-0.348309798409548,14,19.11000001,1.0
538,-0.41597782586385107,9,15.81000018,1.0
539,0.6845836181994386,85,140.9700022,1.0
540,0.0698289888905295,36,60.76000023,1.0
541,-0.40838739413182895,8,13.51000011,-1.0
542,0.030441234675373626,32,55.10000002,-1.0
543,-0.431235424947764,8,12.63000011,1.0
544,0.3006497334558784,49,81.36000025,1.0
545,-0.3935006838772819,11,16.47000003,1.0
546,-0.24761028391922135,19,31.02999997,-1.0
547,0.005460593090584855,40,60.72999966,1.0
548,0.08237526273907822,44,74.83000135,1.0
549,-0.49289249551234443,5,7.480000019,-1.0
550,-0.18588287236976123,23,36.4800005,1.0
551,0.17745709039150986,48,68.06000054,-1.0
